t̪aɒbaɒ	t̪aɒ̃paɒ	t̪aæðaɒ	t̪aãθaɒ
ʃɒiramiz	ʃɒiremis	ʃɒirɒ̆mbz	ʃɒiromip
hɒst̪i	hɒzst̪i	haɸst̪i	haβst̪i
haqimd̪a	haχemd̪a	had̪kmd̪a	haðqmd̪a
lenin	lønen	lɛnkn	lœnqn
d̪kabrɡa	d̪cabrka	d̪əabrd̪a	d̪ɛabrt̪a
asrlarki	asrlarce	asrlarok	asrlarøq
qajnab	kejnab	eɒjnab	ioajnab
qurid̪iŋ	χurid̪eŋ	curid̪kŋ	çuridqiŋ
d̪alalar	d̪elãlar	d̪ɒ̆ɒalar	d̪olɒ̃lar
qisad̪i	qised̪e	qisɒ̆d̪k	qisod̪q
pɒzisiɒn	pɒzesiɒ̃n	pɒzksian	pɒzqsiãn
ɡulniɡɒr	kulnikɒr	bulniʁɒr	pulniχɒr
pvc	bvç	ɸvq	βvχ
alɒχd̪sa	elɒχd̪za	ɒlɒχd̪χa	olɒχd̪ʁa
χraj	ʁrej	θrɒj	ðroj
ʃialari	ʃealãri	ʃkalɒ̆ri	ʃqalɒ̃ri
jarimiɡa	jarimike	jarimibɒ̈	jarimipo
ɡulni	kulne	zulnk	sulnq
ruis	rueθ	rukz	ruqð
rɒʔzaniŋ	rɒ̃ʔsaniŋ	ræʔβaniŋ	rãʔɸaniŋ
d̪ed̪imu	d̪id̪emu	d̪qd̪kmu	d̪kd̪qmu
saburɒva	sãburova	sɒ̈buräva	sɒ̃bureva
χɒt͡ʃ	ʁɒ̃t͡ʃ	ɸät͡ʃ	βãt͡ʃ
uzssr	uzθθr	uzzzr	uzððr
sɒʁunij	sɒχunej	sɒɡunkj	sɒkunqj
njuberɡ	njuperk	njuɡerd̪	njukert̪
ɒʔjmakɒr	ɒ̃ʔjmãkɒr	æʔjmɒkɒr	ãʔjmɒ̃kɒr
pɡu	bku	td̪ɡu	dt̪ɡu
d̪uklar	d̪uclãr	d̪uolɒr	d̪uølɒ̃r
azmu	esmu	ɒ̈ʁmu	oχmu
inisiniŋ	enesiniŋ	knksiniŋ	qnqsiniŋ
sɒhamiz	θɒ̃hamiz	zähamiz	ðãhamiz
pawnee	bawneɛ	kawneø	ɡawneœ
sɒkɒ	zɒqɒ	χɒiɒ	ʁɒeɒ
vaqɸniŋ	veqβniŋ	vɒ̆χɸniŋ	voqʁniŋ
qɒniʃ	χɒneʃ	t̪ɒkiʃ	θɒnqʃ
purmanɒ	burmanɒ̃	t̪urmanæ	d̪urmanã
baklaʃka	peklaʃka	d͡ʒɒ̈klaʃka	t͡ʃoklaʃka
zahari	ðehari	sɒhari	θohari
carreras	karreraθ	ɛarreraz	əarrerað
makɒ	maɡo	maɸæ	maβe
billj	pellj	d̪kllj	t̪qllj
mukɒɸɒt̪	muɡɒɸot̪	musɒɸæt̪	muzɒɸet̪
lisbɒn	lesbon	lksbæn	lqsben
pɒliz	pɒles	pɒlkd̪	pɒlqt̪
parsɒns	barsɒ̃ns	karsæns	ɡarsãns
ɡnɒme	knɒmɛ	d͡ʒnøme	t͡ʃnœme
harɒld̪	herɒ̃ld̪	hɒ̈æɒld̪	horãld̪
arijani	arejane	arkjank	arqjanq
ɸerrit̪	ɸørret̪	ɸɛrrkt̪	ɸœrrqt̪
laurent̪	lãuränt̪	lɒ̈uront̪	lɒ̃urɒ̆nt̪
irɡʔib	erkʔib	krbʔib	qrpʔib
jumɡil	jumkel	jumðkl	jumθql
ɡoʃad̪an	koʃed̪an	zoʃɒd̪an	soʃod̪an
puliŋni	puleŋne	pulkŋnk	pulqŋnq
d̪ɒd̪lab	d̪ɒd̪lep	d̪ɒd̪lɒβ	d̪ɒd̪loɸ
