baɡnɛtu	paɡnɛtu	ʑaɡnɛtu	ɕaɡnɛtu
datɛt͡ss	dãtɛt͡ss	dɛtɛt͡ss	dɛ̃tɛt͡ss
ɡrɔbuv	ɡʲrɔbuv	krɔbuv	kʲrɔbuv
pɛvɛxu	pɛvɛ̃xu	pɛvɔ̈xu	pɛvɔ̃xu
trɨb	t͡srɨb	drɨb	d͡zrɨb
draxlɛr	drãxlɛr	drɛxlɛr	drɛ̃xlɛr
vɨsɨpana	vïsɨpana	vɔ̈sɨpana	vœsɨpana
rɨɕɛ	rïɕɛ	rɡɕɛ	rɡʲɕɛ
zawatfjɛ	zawatvjɛ	zawatsjɛ	zawatzjɛ
drivɛruv	drivɛ̃ruv	drivɔruv	drivɔ̃ruv
zɔstaɲɛʂ	zɔztaɲɛʂ	zɔttaɲɛʂ	zɔdtaɲɛʂ
dɔxud	tɔxud	ɡɔxud	kɔxud
mɔnt͡ɕɔr	mœnt͡ɕɔr	mɨnt͡ɕɔr	mïnt͡ɕɔr
bɨlɛs	bɨlɛ̃s	bɨlɔ̆s	bɨlɔ̃s
ɡɛmma	kɛmma	zɛmma	sɛmma
xubravm	xupravm	xudravm	xutravm
ɔtstav	ɔt͡sstav	ɔdstav	ɔd͡zstav
isqi	ɨsqi	ɲsqi	ŋsqi
fajnɔ	fãjnɔ	fɔjnɔ	fɔ̃jnɔ
kɛvan	xɛvan	qɛvan	χɛvan
kum	xum	dum	zum
kradnɔ̃	krãdnɔ̃	krɛdnɔ̃	krɛ̃dnɔ̃
kuʂɛɲa	kusɛɲa	kuʐɛɲa	kuzɛɲa
ʂɛdwʂɨ	ʂɛdwʂi	ʂɛdwʂk	ʂɛdwʂkʲ
kɔlɛndɔ̃	kɔlɛ̃ndɔ̃	kɔlɔ̈ndɔ̃	kɔlɔ̃ndɔ̃
staxk	st͡saxk	sdaxk	sd͡zaxk
vɨmuʂaw	vɨmuʐaw	vɨmufaw	vɨmuvaw
malali	malalɨ	malalɡʲ	malalɡ
ʐutɔvawɨ	zutɔvawɨ	ʂutɔvawɨ	sutɔvawɨ
rsɔ	rzɔ	rtɔ	rdɔ
sxul	sχul	skul	squl
plitʂku	plit͡sʂku	plidʂku	plid͡zʂku
ɡalɛɔnu	ɡʲalɛɔnu	ɨalɛɔnu	ialɛɔnu
sfɔjx	svɔjx	sʂɔjx	sʐɔjx
mirmur	mɨrmur	mœrmur	mɔrmur
ɔxfɔrdu	ɔxvɔrdu	ɔxkʲɔrdu	ɔxɡʲɔrdu
puɛntɛ	puɛ̃ntɛ	puäntɛ	puãntɛ
stfɔrɛk	stvɔrɛk	stɕɔrɛk	stʑɔrɛk
zbaftʂɨ	zbaftʂi	zbaftʂk	zbaftʂkʲ
