oqiʃɡan	øqiʃɡan	əqiʃɡan	ɛqiʃɡan
qɒpɡa	qɒbɡa	qɒkɡa	qɒɡɡa
t͡ʃaŋni	d͡ʒaŋni	kaŋni	ɡaŋni
ɒʔqilib	ɒʔqilip	ɒʔqiliβ	ɒʔqiliɸ
met̪rɒ	met̪ro	met̪ræ	met̪re
kliʃuvɡa	kliʃuvka	kliʃuvða	kliʃuvθa
qasrniŋ	qaθrniŋ	qazrniŋ	qaðrniŋ
bulsa	pulsa	zulsa	sulsa
keriniŋ	kereniŋ	kerkniŋ	kerqniŋ
araʃniŋ	araʃneŋ	araʃnkŋ	araʃnqŋ
t̪osarni	t̪ozarni	t̪ot͡ʃarni	t̪od͡ʒarni
ʃorkul	ʃɒ̆rkul	ʃerkul	ʃærkul
d̪iʃani	t̪iʃani	d͡ʒiʃani	t͡ʃiʃani
χimjɒvij	χimjɒvej	χimjɒvkj	χimjɒvqj
d̪rɒd͡ʒa	t̪rɒd͡ʒa	ðrɒd͡ʒa	θrɒd͡ʒa
aɡat̪	eɡat̪	ɒɡat̪	oɡat̪
qɒran	qɒ̃ran	qæran	qãran
sunt͡ʃen	zunt͡ʃen	χunt͡ʃen	ʁunt͡ʃen
behat̪ɒ	bïhat̪ɒ	bqhat̪ɒ	bkhat̪ɒ
bɒld̪i	bɒ̃ld̪i	bald̪i	bãld̪i
sɒʔjɡan	soʔjɡan	saʔjɡan	seʔjɡan
ɒqali	ɒ̃qali	aqali	ãqali
breakɒɸɸ	brɛakɒɸɸ	brøakɒɸɸ	brœakɒɸɸ
kurjer	qurjer	ïurjer	eurjer
jɸn	jβn	jsn	jzn
ɸrenk	ɸränk	ɸronk	ɸrɒ̆nk
nɒrmauz	nɒrmauð	nɒrmaus	nɒrmauθ
t̪oŋaniŋ	t̪øŋaniŋ	t̪əŋaniŋ	t̪ɛŋaniŋ
t̪rakt̪	d̪rakt̪	krakt̪	ɡrakt̪
hajd̪ɒv	hajðɒv	hajqɒv	hajχɒv
olɡani	olkani	old̪ani	olt̪ani
lɒɡɒni	lɒɡɒne	lɒɡɒnk	lɒɡɒnq
bialn	bealn	bkaln	bqaln
buzɒq	buzoq	buzäq	buzeq
ɡʔalaba	kʔalaba	bʔalaba	pʔalaba
akaŋd̪an	ãkaŋd̪an	ɒ̈kaŋd̪an	ɒ̃kaŋd̪an
kcn	kçn	kt̪n	kθn
kɒsɒnni	kɒθɒnni	kɒzɒnni	kɒðɒnni
aliɡeri	alikeri	aliðeri	aliθeri
qalt̪is	qelt̪is	qɒlt̪is	qolt̪is
quliev	χuliev	d̪uliev	ðuliev
jeŋad̪i	jeŋad̪e	jeŋad̪k	jeŋad̪q
uld͡ʒɒŋa	ult͡ʃɒŋa	ulɡɒŋa	ulkɒŋa
bakit̪	bakiθ	bakid̪	bakið
markazli	markaðli	markasli	markaθli
rɒmlari	rɒmlare	rɒmlark	rɒmlarq
sint̪ezi	θint̪ezi	zint̪ezi	ðint̪ezi
ɒbid̪χɒn	ɒ̃bid̪χɒn	äbid̪χɒn	ãbid̪χɒn
ɡiuliɒ	ɡiuleɒ	ɡiulkɒ	ɡiulqɒ
mehanik	mehaniɡ	mehanit͡ʃ	mehanid͡ʒ
sikld̪an	sekld̪an	skkld̪an	sqkld̪an
ɒʔzarɒ	ɒʔzerɒ	ɒʔzɒ̈rɒ	ɒʔzorɒ
komiri	komire	komirk	komirq
uaariɸɒv	uaãriɸɒv	uaɒ̈riɸɒv	uaɒ̃riɸɒv
saɸlarni	saβlarni	saplarni	sablarni
likni	lekni	lkkni	lqkni
elab	elãb	elɒ̈b	elɒ̃b
rɒzijniŋ	rɒðijniŋ	rɒsijniŋ	rɒθijniŋ
sɒjlar	θɒjlar	zɒjlar	ðɒjlar
d̪als	ðals	qals	χals
bükme	pükme	d̪ükme	t̪ükme
kɒnlarni	kɒnlãrni	kɒnlɒ̆rni	kɒnlɒ̃rni
d̪ejali	d̪ejale	d̪ejalk	d̪ejalq
kanɒ	kãnɒ	kɒnɒ	kɒ̃nɒ
