mukʰoɕta	mukʰoɕtʰa	mukʰoɕwa	mukʰoɕw̤a
ɡɔhin̪er	ɡɔhin̪ær	ɡɔhin̪e̤r	ɡɔhin̪a̤r
s̪taɸer	z̪taɸer	h̪taɸer	ɦ̪taɸer
del	d̤el	ïel	i̤el
oɡɔs̪ta	oɡɔs̪të	oɡɔs̪ta̤	oɡɔs̪te̤
haun̪	hayn̪	haön̪	haøn̪
rich	ricɦ	rics	ricz
prɔb̤abɔ	prɔp̤abɔ	prɔɦ̤abɔ	prɔh̤abɔ
ɡɔrupeo	ɡɔrupao	ɡɔrupe̤o	ɡɔrupa̤o
teken̪	tøken̪	təken̪	tɔken̪
s̪etɔ	s̪etö	s̪etɔ̃	s̪etõ
pel̪ɔ	pe̤l̪ɔ	pd͡ʑl̪ɔ	pd͡ʑ̤l̪ɔ
bihin̪	biɦin̪	bifin̪	bivin̪
mamu	memu	ma̤mu	me̤mu
janar	janar̤	janaɡ	janaɡ̤
b̤abti	b̤apti	b̤ad̪ti	b̤at̪ti
ɕibad͡ʑi	ɕibad͡ʑĩ	ɕibad͡ʑä	ɕibad͡ʑã
ɕɔriɸerɔ	ɕɔɽiɸerɔ	ɕɔsiɸerɔ	ɕɔʂiɸerɔ
mubail̪e	mÿbail̪e	mkbail̪e	mcbail̪e
lara	lãra	lïra	lĩra
ritin̪	ri̤tin̪	rktin̪	rkʰtin̪
kupakupi	kupakṳpi	kupakŋpi	kupakŋ̤pi
kha	khã	khɔ	khɔ̃
s̪irahɔ	s̪irĕhɔ	s̪ira̤hɔ	s̪ire̤hɔ
newbies	newbie̤s	newbios	newbio̤s
b̤aŋɡari	b̤aŋɡarĩ	b̤aŋɡaræ	b̤aŋɡarã
tawaf	tawa̤f	tawkf	tawkʰf
t̪uɸan̪	t̪̪uɸan̪	s̪uɸan̪	s̪̪uɸan̪
loss	loss̪	lostʰ	lost̪ʰ
parkɔɦ	pĕrkɔɦ	pa̤rkɔɦ	pe̤rkɔɦ
t̪as̪ib	t̪as̪eb	t̪as̪kb	t̪as̪qb
td͡zaka	t̪d͡zaka	d̤d͡zaka	d̪̤d͡zaka
d̪akoper	d̤̪akoper	j̪akoper	j̤̪akoper
us̪t̪ad̪	us̪t̪az̪	us̪t̪ad̪̪	us̪t̪að̪
fishbase	fis̪hbase	fid̤hbase	fid̪̤hbase
pet̪ʰai	petʰ̪ʰai	ped̪ʰai	ped̤̪ʰai
bapardɔ	bapa̤rdɔ	baptrdɔ	baptʰrdɔ
ɕikʰer	ɕiqʰer	ɕii̤ʰer	ɕie̤ʰer
ɸrutɔs̪ɔ	ɸrÿtɔs̪ɔ	ɸrotɔs̪ɔ	ɸrøtɔs̪ɔ
dɔabd̪ur	dɔapd̪ur	dɔazd̪ur	dɔasd̪ur
mod͡ʑes̪	mod͡ʑet̪	mod͡ʑes̪̪	mod͡ʑet̪̪
oe̯ariɕ	oe̯ar̤iɕ	oe̯aæiɕ	oe̯aa̤iɕ
utʰen̪	udʰen̪	utʰʰen̪	ud̤ʰen̪
bɔhɔra	bɔɦɔra	bɔt̪ɔra	bɔd̪ɔra
kuie̯ar	ɡuie̯ar	puie̯ar	buie̯ar
dubai	d̤ubai	d͡ʑubai	d͡ʑ̤ubai
berubar	berubar̤	berubat̪	berubat̪ʰ
ripple	ri̤pple	rjpple	rj̤pple
erin	erin̪	erid̤	erid̪̤
shohan	shoɦan	shot͡ɕan	shod͡ʑan
ahban̪ke	ahban̪qe	ahban̪i̤e	ahban̪e̤e
pɔkoɽa	pɔkoɽa̤	pɔkoɽt	pɔkoɽtʰ
kʰɔɦ	xʰɔɦ	d̪ʰɔɦ	ðʰɔɦ
url	yrl	ɔrl	œrl
